input/att48.in
1352193693
23
0: f111763.585938 0,17,39,26,30,2,22,6,16,43,32,37,5,24,41,28,46,13,45,29,35,12,38,47,14,19,11,8,15,44,34,1,10,33,18,36,31,25,23,3,9,20,40,7,27,42,21,4
1: f95040.421875 8,45,5,42,43,26,12,16,17,39,21,19,29,18,10,15,13,40,33,1,9,47,28,41,20,14,37,22,32,38,30,7,2,11,24,6,46,36,35,27,0,4,25,3,34,44,23,31
2: f92529.148438 3,34,9,44,23,37,35,5,46,27,6,14,26,18,16,29,11,43,32,40,45,10,19,12,39,30,8,2,33,28,24,47,22,31,41,13,1,20,17,7,38,42,36,0,21,15,4,25
3: f78382.945312 36,6,14,11,43,32,40,27,19,12,39,0,22,46,31,41,13,1,20,17,7,37,5,35,10,45,30,21,15,4,25,3,34,9,44,23,38,47,24,28,33,2,8,29,26,18,16,42
4: f67742.710938 4,12,19,46,22,0,39,13,1,3,25,34,44,23,38,9,41,47,24,28,33,2,8,37,5,32,40,11,43,17,7,15,21,30,45,27,26,29,16,36,18,42,6,14,10,35,20,31
5: f66010.742188 3,25,4,47,28,20,29,6,32,21,15,10,45,19,46,12,16,26,43,36,27,5,42,18,39,2,33,40,14,7,0,17,30,37,11,8,35,22,24,13,38,31,23,1,41,9,44,34
6: f61221.699219 5,36,42,27,43,32,26,16,6,45,39,10,38,20,29,18,17,37,14,19,12,13,1,44,34,3,25,9,4,47,41,23,31,46,22,7,0,8,30,21,15,2,33,40,28,24,11,35
7: f53543.988281 16,18,17,27,45,8,0,12,13,28,33,40,10,22,20,19,11,14,39,24,4,1,3,25,34,44,23,9,41,47,38,31,46,2,21,15,7,37,5,26,29,6,36,43,32,30,35,42
8: f51237.089844 1,40,21,15,2,7,37,17,19,46,12,38,31,13,24,33,10,0,39,14,45,42,16,29,35,27,5,18,26,36,6,32,43,30,8,11,22,20,47,41,44,34,25,3,9,23,4,28
9: f49655.835938 30,37,14,19,8,15,21,13,11,0,7,2,22,40,33,39,46,12,24,4,28,3,25,34,44,9,23,41,1,47,38,31,20,10,45,32,6,35,27,36,16,42,18,5,26,29,17,43
10: f45738.351562 16,26,29,42,27,6,43,32,30,45,8,0,37,7,15,21,2,22,10,38,31,46,20,19,11,14,39,24,4,47,41,23,44,9,34,25,3,1,28,40,33,13,12,35,17,5,36,18
11: f43276.937500 6,43,32,39,2,22,11,30,45,19,46,20,10,13,12,31,38,23,44,34,25,3,9,41,1,28,4,47,24,33,40,15,21,8,7,0,37,14,35,17,5,36,42,16,26,29,18,27
12: f41802.472656 4,47,24,40,33,2,15,21,10,19,46,11,39,14,32,45,7,0,8,37,30,43,6,17,35,27,5,36,26,18,16,42,29,20,22,13,12,38,31,23,9,34,44,3,25,1,28,41
13: f39409.792969 12,24,33,40,15,21,8,7,0,37,30,43,6,27,18,36,42,16,26,29,5,35,17,45,32,39,2,22,11,14,19,46,20,10,13,28,1,3,25,34,44,9,23,41,4,47,38,31
14: f37939.941406 0,7,37,30,43,6,27,18,36,42,16,26,29,5,35,17,45,32,39,2,22,11,14,19,46,20,10,13,24,12,31,38,47,4,41,23,9,44,34,25,3,1,28,33,40,15,21,8
15: f36384.000000 12,11,14,39,32,45,30,43,6,27,5,26,36,18,16,42,29,35,17,37,8,7,0,21,2,15,40,33,28,1,3,25,34,44,9,23,41,4,47,38,31,20,46,19,10,22,13,24
16: f36293.648438 2,33,13,24,12,10,22,11,14,39,0,7,8,30,37,43,6,27,18,36,42,16,26,29,5,35,17,45,32,19,46,20,31,38,47,4,41,23,9,44,34,25,3,1,28,40,15,21
17: f35824.468750 5,36,18,26,16,42,27,6,17,43,30,7,37,0,8,39,14,11,10,22,2,21,15,40,33,13,12,24,38,47,4,28,1,41,9,25,3,34,44,23,31,20,46,19,32,45,35,29
18: f35133.160156 3,25,41,1,28,4,47,24,13,33,40,15,2,21,0,7,8,37,30,43,6,27,5,36,18,16,42,26,29,35,17,45,14,39,11,32,19,10,22,12,46,20,38,31,23,9,44,34
19: f34663.773438 11,14,32,45,35,27,36,5,18,26,16,42,29,6,17,43,30,37,8,7,0,39,2,21,15,40,33,47,4,28,1,41,9,25,3,34,44,23,31,38,20,12,24,13,22,10,46,19
20: f34324.398438 0,7,37,30,43,17,6,27,5,36,26,18,16,42,29,35,45,32,19,46,20,31,23,44,34,3,25,9,41,1,28,4,47,38,24,12,13,33,40,15,21,2,22,10,11,14,39,8
21: f33523.707031 0,8,39,14,11,10,12,24,13,22,2,21,15,40,33,28,1,25,3,34,44,9,23,41,4,47,38,31,20,46,19,32,45,35,29,42,16,26,18,36,5,27,6,17,43,30,37,7
22: f33523.703125 16,26,18,36,5,27,6,17,43,30,37,7,0,8,39,14,11,10,12,24,13,22,2,21,15,40,33,28,1,25,3,34,44,9,23,41,4,47,38,31,20,46,19,32,45,35,29,42

